message-loss sweep: 2×3×10×100 = 6000 sims (0 done, 6000 to run)
  200/6000 done
  400/6000 done
  600/6000 done
  800/6000 done
  1000/6000 done
  1200/6000 done
  1400/6000 done
  1600/6000 done
  1800/6000 done
  2000/6000 done
  2200/6000 done
  2400/6000 done
  2600/6000 done
  2800/6000 done
  3000/6000 done
  3200/6000 done
  3400/6000 done
  3600/6000 done
  3800/6000 done
  4000/6000 done
  4200/6000 done
  4400/6000 done
  4600/6000 done
  4800/6000 done
  5000/6000 done
  5200/6000 done
  5400/6000 done
message-loss sweep: 2×3×10×100 = 6000 sims (5448 done, 552 to run)
  200/552 done
  400/552 done
  552/552 done
# Does lossy gossip break polite shrink? Data loss vs message-loss rate

Seeds: 100. Join-free scenarios. loss = per-round gossip drop probability; loss=0 = base sim.


## activation, upgraded fraction f=0.1

| loss | runs w/ data loss | rate | mean final level |
|---|---|---|---|
| 0.0 | 0/100 | 0.0% | 0.53 |
| 0.1 | 0/100 | 0.0% | 0.53 |
| 0.2 | 0/100 | 0.0% | 0.54 |
| 0.3 | 0/100 | 0.0% | 0.54 |
| 0.4 | 0/100 | 0.0% | 0.53 |
| 0.5 | 0/100 | 0.0% | 0.53 |
| 0.6 | 0/100 | 0.0% | 0.53 |
| 0.7 | 0/100 | 0.0% | 0.53 |
| 0.8 | 0/100 | 0.0% | 0.52 |
| 0.9 | 0/100 | 0.0% | 0.52 |

## activation, upgraded fraction f=0.5

| loss | runs w/ data loss | rate | mean final level |
|---|---|---|---|
| 0.0 | 0/100 | 0.0% | 0.85 |
| 0.1 | 0/100 | 0.0% | 0.83 |
| 0.2 | 0/100 | 0.0% | 0.83 |
| 0.3 | 0/100 | 0.0% | 0.85 |
| 0.4 | 0/100 | 0.0% | 0.83 |
| 0.5 | 0/100 | 0.0% | 0.84 |
| 0.6 | 0/100 | 0.0% | 0.82 |
| 0.7 | 0/100 | 0.0% | 0.84 |
| 0.8 | 0/100 | 0.0% | 0.79 |
| 0.9 | 0/100 | 0.0% | 0.78 |

## activation, upgraded fraction f=1.0

| loss | runs w/ data loss | rate | mean final level |
|---|---|---|---|
| 0.0 | 0/100 | 0.0% | 0.98 |
| 0.1 | 0/100 | 0.0% | 0.99 |
| 0.2 | 0/100 | 0.0% | 0.98 |
| 0.3 | 0/100 | 0.0% | 0.97 |
| 0.4 | 0/100 | 0.0% | 0.93 |
| 0.5 | 0/100 | 0.0% | 0.89 |
| 0.6 | 0/100 | 0.0% | 1.00 |
| 0.7 | 0/100 | 0.0% | 0.96 |
| 0.8 | 0/100 | 0.0% | 0.90 |
| 0.9 | 0/100 | 0.0% | 0.90 |

## storm, upgraded fraction f=0.1

| loss | runs w/ data loss | rate | mean final level |
|---|---|---|---|
| 0.0 | 1/100 | 1.0% | 0.56 |
| 0.1 | 1/100 | 1.0% | 0.57 |
| 0.2 | 2/100 | 2.0% | 0.55 |
| 0.3 | 2/100 | 2.0% | 0.56 |
| 0.4 | 2/100 | 2.0% | 0.56 |
| 0.5 | 1/100 | 1.0% | 0.56 |
| 0.6 | 1/100 | 1.0% | 0.54 |
| 0.7 | 1/100 | 1.0% | 0.54 |
| 0.8 | 1/100 | 1.0% | 0.55 |
| 0.9 | 1/100 | 1.0% | 0.54 |

## storm, upgraded fraction f=0.5

| loss | runs w/ data loss | rate | mean final level |
|---|---|---|---|
| 0.0 | 0/100 | 0.0% | 0.81 |
| 0.1 | 0/100 | 0.0% | 0.83 |
| 0.2 | 0/100 | 0.0% | 0.83 |
| 0.3 | 0/100 | 0.0% | 0.83 |
| 0.4 | 0/100 | 0.0% | 0.84 |
| 0.5 | 0/100 | 0.0% | 0.84 |
| 0.6 | 0/100 | 0.0% | 0.81 |
| 0.7 | 0/100 | 0.0% | 0.82 |
| 0.8 | 0/100 | 0.0% | 0.82 |
| 0.9 | 0/100 | 0.0% | 0.78 |

## storm, upgraded fraction f=1.0

| loss | runs w/ data loss | rate | mean final level |
|---|---|---|---|
| 0.0 | 0/100 | 0.0% | 0.99 |
| 0.1 | 0/100 | 0.0% | 1.03 |
| 0.2 | 0/100 | 0.0% | 1.02 |
| 0.3 | 0/100 | 0.0% | 1.04 |
| 0.4 | 0/100 | 0.0% | 1.00 |
| 0.5 | 0/100 | 0.0% | 0.98 |
| 0.6 | 0/100 | 0.0% | 0.98 |
| 0.7 | 1/100 | 1.0% | 1.00 |
| 0.8 | 0/100 | 0.0% | 0.94 |
| 0.9 | 0/100 | 0.0% | 0.94 |

wrote /workspaces/ValiChord/research/arc_sim/results/message_loss_summary.md
